Компанија,Наслов,Опис
Стопанска банка АД Битола,Други ценовно чувствителни информации,"Во согласност со член 32 од Законот за преземање на акционерски друштва, Управниот одбор на Стопанска банка А.Д. Битола го објави своето мислење и мислењето на претставниците на вработените во Стопанска банка А.Д. Битола во врска со објавената понуда за преземање на Стопанска банка А.Д. Битола од страна  на Комерцијална Банка АД Скопје. Двете мислења се објавени во Дневен весник-Слободен печат ДОО Скопје на 4.9.2024 година и соодветно доставени за објава во Службен весник на Република Северна Македонија."
Стопанска банка АД Битола,Други ценовно чувствителни информации,Ве известуваме дека од страна на Комерцијална банка АД Скопје доставена е Понудата за превземање и Проспектот на понудата за превземaње на Стопанска банка АД Битола. Документите се достапни на следниот линк: Јавна понуда за преземање на Стопанска банка АД Битола - 23.08.2024 (mse.mk)
Стопанска банка АД Битола,Други ценовно чувствителни информации,"Известуваме дека Управниот одбор на Стопанска банка АД Битола на ден 01.08.2024 година, согласно член 22 став 1 од Законот за преземање на акционерски друштва доби известување од Комерцијална банка АД Скопје дека има намера да даде понуда за преземање на сите обични акции со право на глас издадени од Стопанска банка АД Битола. "
Стопанска банка АД Битола,Други ценовно чувствителни информации,Образложение на остварениот финансиски резултат на Стопанска банка а.д. Битола за периодот 1.1.-30.6.2024 година. 
Стопанска банка АД Битола,Неревидирани финансиски извештаи 01.01. - 30.06.,Неревидирани финансиски извештаи на Стопанска банка а.д. Битола за периодот 1.1. - 30.6.2024 година. 
Стопанска банка АД Битола,Други ценовно чувствителни информации,"Стопанска банка а.д. Битола известува дека неревидираните финансиски извештаи за периодот 1.1-30.6.2024 година, како и Образложението кон остварениот финансиски резултат ќе бидат објавени на СЕИ Нет на 17.7.2024 година, наместо во периодот 22.7.2024 – 26.7.2024 година кој беше предвиден согласно објавениот Календар на настани за 2024 година. "
Стопанска банка АД Битола,Измени во органи на управување,Стопанска банка а.д. Битола ги објавува Одлуките донесени на Собрание на акционери: 
Стопанска банка АД Битола,Други одлуки од собрание,Стопанска банка а.д. Битола ја објавува Одлуката донесена на Собрание на акционери: 
Стопанска банка АД Скопје,Други ценовно чувствителни информации,Стопанска банка АД Скопје објавува анализа кон неревидираните финансиски извештаи за периодот од 01.01. - 30.09.2024 година:
Стопанска банка АД Скопје,Неревидиран биланс на успех 01.01. - 30.09.,Стопанска банка АД Скопје ги објавува неревидираните (неконсолидирани) финансиски извештаи за периодот 01.01.-30.09.2024 година:
Стопанска банка АД Скопје,Измени во органи на управување,"Согласно Решение бр. 15-22168/10 од 08.8.2024 година, Гувернерот на Народна Банка на Република Северна Македонија издаде согласност на повторното именување на г-дин Диомидис Николетопулос на позицијата Генерален Извршен Директор и Претседател на Управен одбор на Стопанска банка АД - Скопје. "
Стопанска банка АД Скопје,Други ценовно чувствителни информации,Стопанска банка АД Скопје ги објавува коментарите на неревидираните финансиски извештаи (консолидирани и неконсолидирани) за период 01.01. - 30.06.2024 година. 
Стопанска банка АД Скопје,Неревидирани финансиски извештаи 01.01. - 30.06.,Стопанска банка АД Скопје објавува неревидирани консолидирани финансиски извештаи за период 01.01. - 30.06.2024 
Стопанска банка АД Скопје,Неревидирани финансиски извештаи 01.01. - 30.06.,Стопанска банка АД Скопје објавува неревидирани единечни финансиски извештаи за период 01.01. - 30.06.2024 
Стопанска банка АД Скопје,Измени во органи на управување,"Согласно Решение бр. 15-17374/10 и бр. 15-1736/10, Гувернерот на Народна банка на Република Северна Македонија издаде претходна согласност проф. Владимир Филиповски и проф. Сашо Ќосев повторно да бидат именувани за независни членови на Надзорниот одбор на Стопанска банка АД – Скопје."
Стопанска банка АД Скопје,Други одлуки од собрание,.
Стопанска банка АД Скопје,Измени во органи на управување,Стопанска банка АД Скопје ги објавува одлуките донесени на 54-та седница на Собранието на акционери:  
Струмичко поле АД с. Василево,Неревидиран биланс на успех 01.01. - 30.09.,"Неревидиран биланс на успех 01,01,2024-30,09,2024"
Струмичко поле АД с. Василево,Други ценовно чувствителни информации,Полугодишен извештај за работењето на АД Струмичко поле с.Василево
Струмичко поле АД с. Василево,Неревидирани финансиски извештаи 01.01. - 30.06.,"Нереводирани финансиски извештаи од 01,01-30,06.2024 на АД Струмичко поле.с.Василево"
ТЕАЛ АД Тетово,Неревидиран биланс на успех 01.01. - 30.09.,Неревидиран биланс на успех за Теал АД Тетово 01.01-30.09.2024
ТЕАЛ АД Тетово,Други ценовно чувствителни информации,Образложение кон постигнатите резултати за 01.01-30.04.2024 за Теал АД Тетово
ТЕАЛ АД Тетово,Неревидирани финансиски извештаи 01.01. - 30.06.,Неревидирани финансиски извештаи за Теал АД Тетово за 01.01-30.06.2024
Тетекс АД Тетово,Измени во органи на управување,
Тетекс АД Тетово,Други одлуки од собрание,
Тетекс АД Тетово,Други ценовно чувствителни информации,
Тетекс АД Тетово,Неревидиран биланс на успех 01.01. - 30.09.,
Тетекс АД Тетово,Предлог - одлуки за Собрание на акционери,
Тетекс АД Тетово,Други ценовно чувствителни информации,Образложение кон Билансот на успех за период 01.01.2024 г. до 30.09.2024 г.
Тетекс АД Тетово,Неревидиран биланс на успех 01.01. - 30.09.,Неревидиран Биланс на успех за период 01.01.2024 до 30.09.2024
Тетекс АД Тетово,Предлог - одлуки за Собрание на акционери,
Тетекс АД Тетово,Јавен повик за собрание,"Согласно член  45 и 46 од Статутот на Тетекс АД Тетово, а врз основа на Одлуката за свикување на Собрание на акционери  на Друштвото  бр.0202-2066/3 – 17.10.2024 година, Одборот на директорина Тетекс АД Тетово објавува  Ј А В Е Н   П О В И К За одржување на Собрание на акционерите на ТЕТЕКС АД ТЕТОВО   Собрание на акционерите на Тетекс АД Тетово ќе се одржи на ден 20.11.2024год. (среда) со почеток во 12 часот, во салата во  конфекција во Друштвото, во Тетово на ул.Браќа Миладинови бр.1.  Собранието на акционери  на седницата ќе работи по следниот  Д н е в е н  р е д IПроцедурален дел  1.Отварање на Собрание на акционери 2.Избор на претседавач  на Собрание на акционери 3. Записникот согласно член 407 од ЗТД го води нотар 4. Избор на еден бројач на гласови  IIРаботен дел   Се повикуваат акционерите на Тетекс АД Тетово, односно нивните законски застапници да учествуваат во работата на Собранието на акционери. Акционерите се должни своето учество да го пријават најдоцна пред почетокот на седницата на Собранието на акционери, до Друштвото. Секој акционер може да овласти полномошник  со писмено полномошно за учество на Собранието на акционери,за што е должен да го извести Друштвото по писмен пат и електронски. Податоците за начинот на испраќање на известувањата за полномоштвата и обрасците за гласање преку полномошник се достапни на официјалната страница на Друштвотоwww.teteks.com.mk Акционерот  може да користи и други видови обрасци за давање полномошно во писмена форма. Согласно Законот за изменување и дополнување на  Законот за превземање на акционерски друштва, полномошникот задолжително ја известува Комисијата за хартии од вредност за намерата  и причините за давање на полномоштва од повеќе акционери, во рок од пет работни дена пред одржувањето на Собранието на акционери. Акционерите можат да гласаат со кореспонденција, со испраќање пополнет образец кој во оригинал мора да биде примен во Друштвото  најдоцна на 19.11.2024  година, до 13:00 часот. Обрасците за гласање со кореспонденција и дополнителни информации за начинот на пополнување и идентификацијата на акционерите се достапни на интернет-страницата на Друштвото .    Согласно Законот за трговски друштва,  акционерите кои поединечно или заедно поседуваат најмалку 5% од вкупниот број на акции со право на глас можат да предложат дополнување на дневниот ред со барање за вклучување нови точки ако истовремено приложат и образложение за предложената точка за дополнување на дневниот ред  или ако предложат одлука по прeдлoжената точка, како и по писмен пат да предложат за усвојување одлуки по секојаод   точките кои се вклучени или ќе бидат вклучени во дневниот ред. Акционерите можат да достават предлози за вклучување на нови точки во дневниот ред предлози на одлуките и прашања најдоцна во рок 8 дена од денот кога е објавен  јавниот повик . Собранието на акционериќе одлучува само за прашања кои се уредно ставени на дневниот ред, согласно статутот на Друштвото и Законот за трговски друштва. Секој акционер има право да поставува прашања по секоја точка од дневниот ред на седница на Собранието на акционерина Друштвото. Одговорите на поставените прашања, Друштвото ќе ги објави на својата интернет страница согласно закон. Гласањето наСобранието на акционери е јавно,а одлуките се донесуваат со потребното мнозинство гласови.  Увид во материјалите  од дневниот ред може да се изврши секој работен ден од 12.00 до 13.00 часот во деловните простории на Друштвото и на официјалната страница на Друштвотоwww.teteks.com.mk  ТЕТЕКС АД ТЕТОВО  Одбор на директори "
Тетекс АД Тетово,Измени во органи на управување,"Согласно Правилата за котација, Тетекс АД Тетово известува дека неизвршниот член на Одборот на директори Проф.Др.Михаил Петковски, поднесе оставка од функцијата."
Тетекс АД Тетово,Други ценовно чувствителни информации,"Образложение за остварените резултати во консолидираните финансиски извештаи за периодот јануари-јуни 2024година    Во консолидираниот биланс на успех на групација Тетекс АД Тетово  за период  01.01-30.06.2024год. е вклучена ТТК банка  АД Скопје  по метод на основна главница, каде учеството на Тетекс АД во капиталот изнесува 41,424%; Групација Тетекс АД Тетово  за периодот јануари-јуни 2024година оствари добивка од 6.806 илјади денари, искажана во консолидираниот биланс на успех. Истиот период минатата година  консолидираната добивка изнесуваше 14.381 илјади денари. "
Тетекс АД Тетово,Неревидирани финансиски извештаи 01.01. - 30.06.,Консолидирани неревидирани финансиски извештаи за периодот 01.01.2024-30.06.2024 година
Тетекс АД Тетово,Други ценовно чувствителни информации,"Образложение за остварените резултати за периодот јануари-јуни 2024година  Сметководствени политики и методи на вреднување  Во сметководствените политики и методи на вреднување на ставките во финансиските извештаи на ТЕТЕКС АД ; споредено со последните ревидирани финансиски извештаи  во периодот 01.01-30.06.2024год. немаше промени.  Вкупни приходи  ТЕТЕКС АД за периодот јануари-јуни 2024 година оствари позитивен финансиски резултат искажан во неревидираниот единечен Биланс на успех.  Приходите остварени од продажба на готови производи и услуги се 31.763 илјади ден, и истите се  резултат од редовното работење; во што се вклучени приходи од кирии,услуги и продажба на постоечки залихи на готови производи и материјали.  За тековниот период во финансиските приходи  од 22.668 илјади ден, се евидентирани  приходите од  примени дивиденди; додека минатата година истите изнесуваа 60.281илјади ден.  Вкупни расходи  Остварените единечни вкупни расходи во периодот јануари – јуни 2024 година изнесуваат 50.966 илјади денари  во споредба со истиот период во 2023 година, кога изнесувале 82.325илјади.  Дивиденда  Во изминатиов период исплатена е бруто  дивиденда во износ од 44.869 илјади, односно 110ден. по акција.  Инвестиции  Во периодот нема инвестициони активности. . Обврски по кредити  Сите обврски  по кредити на 30.06.2024год. се подмирени, и нема кредитни задолжувања.  Финасиски резултат  Остварената добивка  за периодот изнесува 7.928 илјади, а истиот период минатата година  истата инесуваше   23.230 илјади.Планови и очекувањаНапорите на менаџментот на ТЕТЕКС АД ,во  постоечките  услови на работа , се насочени кон менаџирање на постоечките расположиви капацитети на недвижен и движен имот, како и залихите на материјали, производи и стоки, за да се оствари приход  и позитивен резултат од работењето , согласно финансискиот план за 2024година. "
Тетекс АД Тетово,Неревидирани финансиски извештаи 01.01. - 30.06.,Неревидирани финансиски извештаи за периодот 01.01-30.06.2024
Технокомерц АД Скопје,Други ценовно чувствителни информации,Образложение на осварените консолидирани резултати
Технокомерц АД Скопје,Неревидиран биланс на успех 01.01. - 30.09.,КОНСОЛИДИРАН  НЕРЕВИДИРАН БИЛАНС  НА УСПЕХ
Технокомерц АД Скопје,Други ценовно чувствителни информации,Образложение за осварените резултати
Технокомерц АД Скопје,Неревидиран биланс на успех 01.01. - 30.09.,Неревидиран Биланс на успех за период од 01.01 - 30.09.2024
Технокомерц АД Скопје,Неревидирани финансиски извештаи 01.01. - 30.06.,Неревидирани финансиски извештаи со 30.06.2024 година
Технокомерц АД Скопје,Други ценовно чувствителни информации,Образложение на остварените резултати
Трготекстил малопродажба АД Скопје,Други ценовно чувствителни информации,Други ценовно чувствителни информации
Трготекстил малопродажба АД Скопје,Неревидиран биланс на успех 01.01. - 30.09.,Неревидиран биланс на успех 01.01.-30.09.2024
Трготекстил малопродажба АД Скопје,Други ценовно чувствителни информации,Други чувствителни информации
Трготекстил малопродажба АД Скопје,Неревидирани финансиски извештаи 01.01. - 30.06.,Неревидирани финансиски извештаи 01.01.-30.03.2024
Триглав осигурување АД Скопје,Предлог - одлуки за Собрание на акционери,"Согласно објавата за Јавен повик за 65-то Собрание на акционери на Триглав Осигурување АД, Скопје, закажано за 29.01.2025 година со почеток во 09,00 часот, во просториите на Триглав Осигурување АД, Скопје, на бул. „8-ми Септември“ бр.16, Скопје, ја објавуваме содржината на материјалите по точките од дневниот ред."
Триглав осигурување АД Скопје,Јавен повик за собрание,"Врз основа на член 41 од Статутот на Триглав Осигурување АД, Скопје и донесената Одлука на 221-та седница на Одборот на директори на Триглав Осигурување АД, Скопје, одржана на ден 19.12.2024 година, за свикување на 65-та седница на Собранието на акционери, објавуваме Повик до акционерите за учество на Собрание на акционери на Друштвото."
Триглав осигурување АД Скопје,Зделка со заинтересирана страна,"Одборот на директори на Триглав Осигурување АД, Скопје, на 220-та седница одржана на ден 21.11.2024 година, донесе Одлука за одобрување на склучување на Договор за давање на деловни услуги за недвижнини со Триглав, Управување со недвижности ДООЕЛ Скопје, врз основа на која нa ден 06.12.2024 година е склучен договор помеѓу Триглав Осигурување АД, Скопје и Триглав, Управување со недвижности ДООЕЛ Скопје.  Договорот е склучен со времетраење заклучно до 31.07.2025 година, а целта на склучување на договорот е обезбедување на деловни услуги од областа на управување со недвижности, за потребите на Триглав Осигурување АД, Скопје.  За вршење на предметните услуги ќе се исплати вкупен надоместок во нето износ од 17.807,94 Евра, а неговата реализација и соодветните месечни исплати од страна на Триглав Осигурување АД, Скопје кон Триглав, Управување со недвижности ДООЕЛ Скопје ќе се вршат до 31.07.2025 година.  Капиталната поврзаност помеѓу Триглав Осигурување АД, Скопје и Триглав, Управување со недвижности ДООЕЛ Скопје, произлегува од тоа што двете друштва се членки на Групацијата Триглав."
Триглав осигурување АД Скопје,Други одлуки од собрание,"На 64-та седница на Собранието на акционери на Триглав Осигурување АД, Скопје, одржана на 29.10.2024 година, донесени се следните одлуки:"
Триглав осигурување АД Скопје,Неревидиран биланс на успех 01.01. - 30.09.,Неревидиран билан на успех за периодот 01.01-30.09.2024
Триглав осигурување АД Скопје,Други ценовно чувствителни информации,Коментар на неревидиран биланс на успех за периодот 01.01.-30.09.2024 година.
Триглав осигурување АД Скопје,Зделка со заинтересирана страна,"Согласно член 460-г од Законот за трговските друштва Триглав Осигурување АД, Скопје известува за склучена зделка со заинтересирана страна: Одборот на директори на Триглав Осигурување АД, Скопје, на 218 седница одржана на ден 24.09.2024 година, донесе Одлука за одобрување на склучување на договор за реосигурување на побарувања за 2024 година со Заваровалница Триглав д.д. Љубљана, Словенија. Врз основа на донесената Одлука, нa ден 03.10.2024  година е склучен Квотен Договор за реосигурyвање на побарувања за 2024 година помеѓу Триглав Осигурување АД, Скопје и Заваровалница Триглав д.д. Љубљана, Словенија. Вредноста на договорот зависи од вкупната премија што ќе биде направена за осигурување на побарувања. За лимити до 1.000.000 евра, во реосигурување ќе биде предадена 95% од премијата, додека за лимити до 3.000.000 евра во реосигурување ќе биде предадена 98,5% од премијата. Капиталната поврзаност помеѓу Триглав Осигурување АД, Скопје и Заваровалница Триглав д.д. Љубљана, Словенија произлегува од тоа што двете друштва се членки на  Групацијата Триглав. "
Триглав осигурување АД Скопје,Предлог - одлуки за Собрание на акционери,"Согласно објавата за Јавен повик за 64-то Собрание на акционери на Триглав Осигурување АД, Скопје, закажано за 29.10.2024 година со почеток во 09,00 часот, во просториите на Триглав Осигурување АД, Скопје, на бул. „8-ми Септември“ бр.16, Скопје, ја објавуваме содржината на материјалите по точките од дневниот ред. "
Триглав осигурување АД Скопје,Јавен повик за собрание,"Врз основа на член 41 од Статутот на Триглав Осигурување АД, Скопје и донесената Одлука на 218-та седница на Одборот на директори на Триглав Осигурување АД, Скопје, одржана на ден 24.09.2024 година, за свикување на 64-та седница на Собранието на акционери, објавуваме Повик до акционерите за учество на Собрание на акционери на Друштвото. "
Триглав осигурување АД Скопје,Зделка со заинтересирана страна,"Согласно член 460-г од Законот за трговските друштва Триглав Осигурување АД, Скопје известува за склучена зделка со заинтересирана страна: Одборот на директори на Триглав Осигурување АД, Скопје, на 215-та седница одржана на ден 23.05.2024 година, донесе Одлука за одобрување на склучување на Договор за реосигурување на посеви и плодови за 2024 година со Триглав Ре Љубљана  бр.0202-1726 од 23.05.2024, врз основа на која  на ден 29.08.2024 година е склучен Договор за реосигурување на посеви и плодови за сезоната 2024 година помеѓу Триглав Осигурување АД, Скопје и Триглав Ре, Љубљана Словенија. Вредноста на договорот изнесува 62.400 Евра, а неговата реализација ќе зависи од настанувањето на штетен настан за предметот на реосигурување. Капиталната поврзаност помеѓу Триглав Осигурување АД, Скопје и Триглав Ре, Љубљана Словенија произлегува од тоа што двете друштва се членки на Групацијата Триглав. "
Триглав осигурување АД Скопје,Други ценовно чувствителни информации, Коментар на неревидирани финансиски извештаи за периодот 01.01.-30.06.2024 година.
Триглав осигурување АД Скопје,Неревидирани финансиски извештаи 01.01. - 30.06., Неревидирани финансиски извештаи за периодот 01.01-30.06.2024
ТТК Банка АД Скопје,Предлог - одлуки за Собрание на акционери,"На барање на Народната банка на Република Северна Македонија, Надзорниот одбор на ТТК Банка АД Скопје изврши корекции во Предлог – одлуката за измени и дополнувања на Статутот на ТТК Банка АД Скопје и истата заедно со Образложението за направените корекции е во продолжение."
ТТК Банка АД Скопје,Измени во органи на управување,"Ве известуваме дека, со Решение на Гувернерката на Народната банка на Република Северна Македонија бр. 15-34165/9 од 25 декември 2024 година, издадена е претходна согласност за повторно именување (реизбор) на проф. д-р Драгољуб Арсовски за член на Управниот одбор на ТТК Банка АД Скопје. Во согласност со Одлуката на Надзорниот одбор на Банката 02-7540/5 од 30.9.2024 година со која проф. д-р Драгољуб Арсовски е повторно именуван (реизбран) за член, тој исто така е избран и за Претседател на Управниот одбор - Генерален извршен директор на ТТК Банка АД Скопје."
ТТК Банка АД Скопје,Други ценовно чувствителни информации,"TTK Банка АД  Скопје ја исплати главницата и каматата за 3 месеци на сопствениците на корпоративни обврзници - прва емисија  ТТК Банка АД Скопјена 18.12.2024 година ја исплати главницата и каматата на сопствениците на корпоративни обврзници – прва емисија со ISIN MKTTKS200012 и шифра TTKO. Пресметката на главницата и на 3-месечната камата е извршена по фиксна каматна стапка од 3,5% на годишно ниво. Право на исплата на камата имаа сите лица регистрирани во книгата на иматели на корпоративна обврзница - прва емисија во Централниот депозитар за хартии од вредност АД Скопје заклучно со 17.12.2024 година.  Во септември 2019 година ТТК Банка АД Скопје ја издаде првата емисија на корпоративни обврзници од коишто за кратко време се запишаа и уплатија 100% од понудените 1.500 обврзници по номинална вредност од 1.000 евра, со рок на доспевање од пет години и 3 месеци, а во вкупна вредност од 1.500.000 евра, и фиксна каматна стапка од 3,5 % на годишно ниво."
ТТК Банка АД Скопје,Други ценовно чувствителни информации,"Известуваме дека ТТК Банка АД Скопjе ќе изврши исплата на главницата и тримесечната камата по каматна стапка од 3,5% на годишно ниво на имателите на Корпоративната обврзница – прва емисија на обврзници ИСИН МКТТКЅ200012 и шифра ТТКО. Право на исплата на главница и камата имаат лицата кои се регистрирани во книгата на иматели на Корпоративна обврзница - прва емисија на издавачот ТТК Банка АД Скопје во Централниот депозитар за хартии од вредност АД Скопје заклучно со 17.12.2024 година. Корпоративните обврзници - прва емисија издадени од ТТК Банка АД Скопје со ИСИН број MKTTKS200012, во количина од 1.500 обврзници, достасува на 18.12.2024 година. Воедно, информираме дека Банката до Македонска берза на хартии од ведност достави Известување со барање за прекин на тргувањето со Корпоративните обврзници - прва емисија издадени од ТТК Банка АД Скопје во деновите 16 и 17 декември. Со тоа последен ден за тргување на истите ќе биде 13.12.2024 година."
ТТК Банка АД Скопје,Предлог - одлуки за Собрание на акционери,
ТТК Банка АД Скопје,Јавен повик за собрание,
ТТК Банка АД Скопје,Други одлуки од собрание,
ТТК Банка АД Скопје,Неревидиран биланс на успех 01.01. - 30.09.,ТТК Банка АД Скопје ги објавува неревидираните финансиски извештаи за периодот 1.1. - 30.9.2024 година.
ТТК Банка АД Скопје,Други ценовно чувствителни информации,ТТК Банка АД Скопје го објавува Коментарот за остварените финансиски резултати за периодот 1.1. - 30.9.2024 година.
ТТК Банка АД Скопје,Предлог - одлуки за Собрание на акционери,ТТК Банка АД Скопје објавува предлог одлуки за предложени точки од дневниот ред на претстојното Собрание на акционери.
ТТК Банка АД Скопје,Предлог - одлуки за Собрание на акционери,Предлог - Одлуки за Собрание на акционери - 5.11.2024 година.
ТТК Банка АД Скопје,Јавен повик за собрание,Јавен повик за Собрание на акционери- 5.11.2024 година.
ТТК Банка АД Скопје,Други ценовно чувствителни информации,"ТТК Банка АД Скопје на 18.9.2024 година ја исплати каматата за петата година на сопствениците на корпоративни обврзници – прва емисија со ISIN MKTTKS200012 и шифра TTKO1. Пресметката на камата е извршена по фиксна каматна стапка од  3,5% на годишно ниво. Право на исплата на камата имаа сите лица регистрирани во книгата на иматели на корпоративна обврзница - прва емисија во Централниот депозитар за хартии од вредност АД Скопје заклучно со 17.9.2024 година. Во септември 2019 година ТТК Банка АД Скопје ја издаде првата емисија на корпоративни обврзници од коишто за кратко време се запишаа и уплатија 100 % од понудените 1.500 обврзници по номинална вредност од 1.000 евра, со рок на доспевање од пет години и три месеци, а во вкупна вредност од 1.500.000 евра, и фиксна каматна стапка од 3,5 % на годишно ниво. Обврзниците се котирани на официјалниот пазар на Македонската берза на хартии од вредност АД Скопје кадешто се овозможува секундарно тргување со истите."
ТТК Банка АД Скопје,Други ценовно чувствителни информации,"Ве известуваме дека ТТК Банка АД Скопје ќе изврши исплата на годишната камата по каматна стапка од 3,5% на годишно ниво на имателите на Корпоративна обврзница – прва емисија на обврзници со ИСИН MKTTKS200012 и шифра ТТКО. Исплатата на камата ќе се изврши на 18.09.2024 година. Право на исплата на камата имаат лицата кои се регистрирани во книгата на иматели на Корпоративна обврзница-прва емисија на издавачот ТТК Банка АД Скопје во Централниот депозитар за хартии од вредност АД Скопје заклучно со 17.09.2024 година. Тргувањето со обврзниците во деновите 16 и 17 септември 2024 година ќе се реализира со пресметана акумулирана камата за 365 и 366 денови соодветно, при што Купувачот при порамнувањето на 18 и 19 септември 2024 година ќе треба да го уплати износот на чистата цена  (+)  акумулираната камата на Продавачот.  При ова, Купувачите ќе бидат регистрирани во книгата на иматели на Корпоративната обврзница – прва емисија на обврзници во Централниот депозитар за хартии од вредност АД Скопје на 18 и 19 септември 2024 година, соодветно и нема да остварат право на исплата на годишната камата."
ТТК Банка АД Скопје,Измени во органи на управување,"Ве известуваме дека со Решение на Гувернерката на Народна банка на Република Северна Македонија бр.15-24552/8 од 15.08.2024 година, издадена е претходна согласност за повторно именување на академик Владо Камбовски за независен член на Надзорниот одбор на ТТК Банка АД Скопје, со нов мандат од 4 (четири) години сметано од 19 септември 2024 година."
